Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
937135,97JFPL23    ,1027.00,1027.00,1027.00,1027.00,11.00,1,11297.00,INE523H07AX7,1000.00,9.7                      ,
936386,981JMFCSL28 ,1052.00,1052.00,1052.00,1052.00,1.00,1,1052.00,INE651J07697,1000.00,9.81                     ,
936254,985EFL28    ,942.00,942.00,942.00,942.00,1.00,1,942.00,INE804I079Y6,1000.00,9.85                     ,
936882,985SCUF24   ,1035.75,1035.75,1035.75,1035.75,1.00,1,1035.00,INE722A07AB6,1000.00,9.85                     ,
935321,990IFCI24F  ,1085.00,1085.00,1085.00,1085.00,100.00,1,108500.00,INE039A07801,1000.00,9.9                      ,
936969,995ECL24    ,975.00,980.00,953.10,979.90,194.00,12,187317.00,INE804IA7212,1000.00,9.95                     ,
936975,995ECL29    ,950.00,950.00,950.00,950.00,200.00,5,190000.00,INE804IA7246,1000.00,9.95                     ,
936392,995EFL24    ,968.00,972.00,965.00,969.00,277.00,11,268297.00,INE804I077Z7,1000.00,9.95                     ,
936716,995EFL24A   ,965.00,965.00,953.01,953.01,141.00,5,135193.00,INE804IA7105,1000.00,9.95                     ,
936722,995EFL29    ,940.00,940.00,937.00,937.00,100.00,3,93850.00,INE804IA7139,1000.00,9.95                     ,
936961,99ECL21     ,1018.00,1018.00,1018.00,1018.00,135.00,3,137430.00,INE804IA7170,1000.00,9.9                      ,
935860,9IBHFL26B   ,935.00,935.00,935.00,935.00,10.00,1,9350.00,INE148I07GL3,1000.00,9                        ,
937293,9MFL23B     ,980.00,980.00,980.00,980.00,150.00,2,147000.00,INE549K07816,1000.00,9                        ,
937441,9MFL27A     ,999.00,999.00,999.00,999.00,5.00,2,4995.00,INE549K08202,1000.00,9                        ,
935752,9MMFSL26    ,1180.00,1180.00,1180.00,1180.00,60.00,4,70800.00,INE774D08MA6,1000.00,9                        ,
936112,9SEFL23B    ,321.00,321.00,321.00,321.00,1000.00,1,321000.00,INE872A07UR3,1000.00,9.00                     ,
937069,9STFCL25    ,1038.00,1038.00,1038.00,1038.00,40.00,3,41520.00,INE721A07PM3,1000.00,9                        ,
957835,9STFCL28A   ,960000.00,965000.00,960000.00,965000.00,3.00,3,2886000.00,INE721A08DA2,1000000.00,9                        ,
936908,BILNCD      ,32.27,32.50,32.27,32.50,156.00,8,5058.00,INE216A07052,30.00,8                        ,
957200,EELK0K705A  ,132633.00,132633.00,132633.00,132633.00,682.00,14,90455706.00,INE572O07BI9,100000.00,,
936390,EFL4JAN19   ,1220.00,1220.00,1220.00,1220.00,25.00,1,30500.00,INE804I076Z9,1000.00,,
961734,HUDCO050327 ,1200.00,1240.00,1200.00,1240.00,1697.00,12,2088576.00,INE031A07840,1000.00,8.20                     ,
972657,IFCI010811D ,11049.00,11049.00,11025.00,11025.00,30.00,2,330990.00,INE039A09NL3,10000.00,10.75                    ,
972713,IFCI150212A ,11170.00,11189.80,11170.00,11170.03,39.00,9,436224.00,INE039A09OE6,5000.00,9.09                     ,
972715,IFCI150212C ,11305.00,11305.00,11305.00,11305.00,1.00,1,11305.00,INE039A09OG1,5000.00,9.16                     ,
972719,IFCI310312A ,10500.00,10501.01,10500.00,10501.01,5.00,2,52504.00,INE039A09OU2,5000.00,8.50                     ,
972720,IFCI310312B ,4999.00,5050.00,4999.00,5050.00,8.00,2,40196.00,INE039A09OV0,5000.00,8.50                     ,
972690,IFCI311011C ,10750.00,10750.00,10750.00,10750.00,20.00,2,215000.00,INE039A09NV2,10000.00,10.50                    ,
961721,LTFL90122I  ,1032.00,1040.00,1032.00,1038.02,61.00,4,63232.00,INE691I07265,1000.00,9                        ,
961722,LTFL9122II  ,2252.10,2260.00,2252.00,2259.58,195.00,21,440123.00,INE691I07273,1000.00,9                        ,
936374,MFL29NOV18D ,1410.00,1410.00,1410.00,1410.00,150.00,1,211500.00,INE522D07AP4,1000.00,,
935760,MMFSL26A    ,1650.00,1650.00,1650.00,1650.00,20.00,2,33000.00,INE774D08MG3,1000.00,,
937059,SVITCH30    ,1135.00,1135.00,1135.00,1135.00,3.00,1,3405.00,INE033L08270,1000.00,8.55                     ,
